PN;End-of-Sale Date;End of New Service Attachment Date;End of Service Contract Renewal Date;Last Date of Support; омментарий
CRS-FP140;;;;;
CRS-PM-DC;;;;;
CSACS-1121-UP-K9;August 27, 2013;August 27, 2014;November 22, 2017;August 31, 2018;
CTS-CAB-VGA-A;;;;;без SN
CTS-CAM-TOOL;;;;;без SN
CTS-CODEC-PRI-G2R;;;;;без SN
CTS-CODEC-S-PWR;;;;;без SN
CTS-CTRL-DV12;;;;;без SN
CTS-DISP-65-GEN4;;;;;без SN
CTS-EP-SW-V1.9K9;;;;;без SN
CTS-LAEB-G2R;;;;;без SN
CTS-LAPCONN-CE;;;;;без SN
CTS-LCU-G2R;;;;;без SN
CTS-PWR-LT-LED;;;;;без SN
CTS-T3-PDU1;;;;;без SN
CTS-TX9000-BZL;;;;;без SN
CTS-TX9000-LEDPK;;;;;без SN
CTS-TX9000-SPKR;;;;;без SN
CTS-TX9000-TBL;;;;;без SN
CTS-TX9200;;;;;без SN
CTS-TX9200-TBL;;;;;без SN
CTS-TX9K-CAMCLSTR;;;;;без SN
CTS-TX9K-CAM-HS;;;;;без SN
CTS-TX9K-CAM-PWR;;;;;без SN
CTS-TX9K-CBLRUN;;;;;без SN
CTS-TX9K-DATADISP;;;;;без SN
CTS-TX9K-FRT-PNLS;;;;;без SN
CTS-TX9K-LTRF-PNL;;;;;без SN
CTS-TX9K-MIC;;;;;без SN
CTS-TX9K-TBL-PNLB;;;;;без SN
CTS-TX9XX0-TBL-WB;;;;;без SN
CTS-TX9XX0-TBL-WF;;;;;без SN
CUCM-VERS-10.X-XU;;;;;без SN
CVR-X2-SFP;;;;;
CVR-X2-SFP10G;;;;;
CWHUM-1.1-L-K9;June 19, 2010;June 19, 2011;September 17, 2014;June 18, 2015;
CWLMS-3.1-5KUPK9;;;;;
DE46C;;;;;без SN
DEM-330R;;;;;
DEM-330T;;;;;
DEM-410X;;;;;
DEM-422XT;;;;;
DGS-3627G;;;;;
DISK-SAS-300GB;August 2, 2010;August 2, 2011;October 28, 2014;August 31, 2015;
DWDM-XENPAK-47.72;July 16, 2015;July 15, 2016;October 11, 2019;July 31, 2020;
DWDM-XFP-50.92;;;;;
DWDM-XFP-58.98;;;;;
DWDM-XFP-59.79;;;;;
DWDM-XFP-60.61;;;;;
DWDM-XFP-C;;;;;
ES+4TG3CXL-BUN;;;;;
ES-2024A;;;;;
ES3526S;;;;;
eSFP-GE-SMTx1490/Rx1310-10K;;;;;
ET4201-LX;;;;;
FAN-MOD-09;;;;;
FAN-MOD-4HS;;;;;
FAN-MOD-6SHS;July 24, 2016;July 24, 2017;October 22, 2020;July 31, 2021;
FAN-MOD-9SHS;July 24, 2016;July 24, 2017;October 22, 2020;July 31, 2021;
FBT-2C-49192-04C;;;;;
FLASR1-BB-16K;;;;;
FLASR1-BB-4K;;;;;
FLASR1-BB-RTU;;;;;
FLASR1-IOSRED-RTU;;;;;
FLS-ASR1001-5G;April 29, 2016;April 29, 2017;July 28, 2020;April 30, 2021;
FL-WEBVPN-10-K9;;;;;
FR-IR75;;;;;
FR-WPP75;;;;;
FTRJ-1319-7D-CSC;;;;;
FTRJ1319P1BTL-C7;;;;;
GBIC_T;;;;;
GEIP+;December 15, 2007;December 14, 2008;March 14, 2012;December 31, 2012;
GLC-BX-D;;;;;
GLC-BX-U;;;;;
GLC-LH-SM;March 8, 2013;March 8, 2014;June 6, 2017;March 31, 2018;
GLC-LH-SMD;;;;;
GLC-LX-SM-RGD;;;;;
GLC-SX-MM;March 8, 2013;March 8, 2014;June 6, 2017;March 31, 2018;
GLC-SX-MMD;;;;;
GLC-T;June 1, 2017;June 1, 2018;August 30, 2021;May 31, 2022;
GLC-ZX-SM;October 17, 2013;October 17, 2014;January 12, 2018;October 31, 2018;
GSR6-ALRM;;;;;
HighSpeedWanInterfacecardwith16RS232asyncports(HWIC-16A);;;;;
HWIC-1FE;July 13, 2012;July 13, 2013;October 8, 2016;July 31, 2017;
HWIC-1GE-SFP;July 13, 2012;July 13, 2013;October 8, 2016;July 31, 2017;
HWIC-2CE1T1-PRI;;;;;
HWIC-2FE;;;;;
HWIC-2T;;;;;
HWIC-4ESW;July 13, 2012;July 13, 2013;October 8, 2016;July 31, 2017;
HWIC-4T;;;;;
HWIC-8A;;;;;
HWIC-D-9ESW;July 13, 2012;July 13, 2013;October 8, 2016;July 31, 2017;
Invalid;;;;;
ISR4451-X/K9;;;;;
JABBER-IM-ADDON;;;;;без SN
JABBER-IM-RTU;;;;;без SN
LIC-TP-10X-ROOM;;;;;
M-ASR1K-EUSB-1GB;;;;;без SN
M-ASR1K-HDD-40GB;;;;;
M-ASR1K-RP1-4GB;;;;;без SN
ME-3400-24TS-A;January 9, 2014;January 9, 2015;April 9, 2018;January 31, 2019;
ME-3400-24TS-D;January 9, 2014;January 9, 2015;April 9, 2018;January 31, 2019;
ME-3400E-24TS-M;;;;;
ME-3400EG-12CS-M;;;;;
ME-3400G-12CS-A;January 9, 2014;January 9, 2015;April 9, 2018;January 31, 2019;
ME-3400G-12CS-D;January 9, 2014;January 9, 2015;April 9, 2018;January 31, 2019;
ME-3400G-2CS-A;January 9, 2014;January 9, 2015;April 9, 2018;January 31, 2019;
ME34X-PWR-AC;;;;;
ME34X-PWR-AC-R;;;;;
ME3600X-10G;;;;;
ME-3600X-24FS-M;;;;;
ME-3600X-24TS-M;;;;;
ME3600X-I;;;;;
