PN,End-of-Sale Date,End of New Service Attachment Date,End of Service Contract Renewal Date,Last Date of Support,Source Link,Notes,Found as
A9K-MOD160-TR,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-MOD160-TR
A9K-MOD80-SE,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-MOD80-SE
A9K-MOD80-TR,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-MOD80-TR
A9K-MPA-20X1GE,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-MPA-20X1GE
A9K-MPA-4X10GE,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-MPA-4X10GE
A9K-MPA-8X10GE,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-MPA-8X10GE
A9K-NV-CLUSTR-LIC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-NV-CLUSTR-LIC
A9K-NVSAT1-LIC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-NVSAT1-LIC
A9K-RSP440-SE,"August 30, 2017","August 30, 2018","November 28, 2021","August 31, 2022",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-737819.html,OK,A9K-RSP440-SE
A9K-RSP440-TR,"August 30, 2017","August 30, 2018","November 28, 2021","August 31, 2022",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-737819.html,OK,A9K-RSP440-TR
A9K-RSP-4G,"August 24, 2015","August 23, 2016","November 19, 2019","August 31, 2020",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-734029.html,OK,A9K-RSP-4G
A9K-SIP-700,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9010-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-SIP-700
AIM-VPN/EPII,"December 22, 2005",N/A,N/A,N/A,http://www.cisco.com/c/en/us/products/collateral/routers/1700-series-modular-access-routers/prod_end-of-life_notice0900aecd802d3d0b.html,OK,AIM-VPN/EPII
AIM-VPN/EPII-PLUS,"December 1, 2008","December 1, 2009","February 27, 2013","December 1, 2013",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_cisco_aim_vpn_ii_plus_modules.html,OK,AIM-VPN/EPII-PLUS
AIM-VPN/HPII-PLUS,"December 1, 2008","December 1, 2009","February 27, 2013","December 1, 2013",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_cisco_aim_vpn_ii_plus_modules.html,OK,AIM-VPN/HPII-PLUS
AIM-VPN/SSL-2,"December 2, 2011","December 1, 2012","February 27, 2016","November 30, 2016",http://www.cisco.com/c/en/us/products/collateral/routers/2800-series-integrated-services-routers-isr/eol_c51-655336.html,OK,AIM-VPN/SSL-2
AS5300chassis,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
AS535-2E1-60-AC,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
AS5400HPX,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ASA-180W-PWR-AC,"September 16, 2013","September 16, 2014","December 12, 2017","September 30, 2018",http://www.cisco.com/c/en/us/products/collateral/security/asa-5500-series-next-generation-firewalls/eol_C51-727284.html,OK,ASA-180W-PWR-AC
ASA-180W-PWR-DC,"September 16, 2013","September 16, 2014","December 12, 2017","September 30, 2018",http://www.cisco.com/c/en/us/products/collateral/security/asa-5500-series-next-generation-firewalls/eol_C51-727284.html,OK,ASA-180W-PWR-DC
ASA5505-K8,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/security/asa-5505-adaptive-security-appliance/model.html,EOS status Orderable (No  specific EOS for this PN),ASA5505-K8
ASA5505-SEC-BUN-K8,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/security/asa-5505-adaptive-security-appliance/model.html,EOS status Orderable (No  specific EOS for this PN),ASA5505-SEC-BUN-K8
ASA5505-SEC-BUN-K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/security/asa-5505-adaptive-security-appliance/model.html,EOS status Orderable (No  specific EOS for this PN),ASA5505-SEC-BUN-K9
ASA5505-UL-BUN-K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/security/asa-5505-adaptive-security-appliance/model.html,EOS status Orderable (No  specific EOS for this PN),ASA5505-UL-BUN-K9
